country,code,continent,population,population_density,median_age,gdp_per_capita
Afghanistan,AFG,Asia,40578801.0,62.215476989746094,16.75200080871582,1516.2733154296875
Albania,ALB,Europe,2827562.0,103.19569396972656,35.94300079345703,15492.0673828125
Algeria,DZA,Africa,45477339.0,19.094158172607425,27.982999801635746,11198.2333984375
American Samoa,ASM,Oceania,48322.0,241.61000061035156,27.927000045776367,
Andorra,AND,Europe,79675.0,169.52127075195312,42.832000732421875,
Angola,AGO,Africa,35634984.0,28.58344841003418,16.389999389648438,5906.11572265625
Anguilla,AIA,North America,14164.0,157.37777709960938,37.77299880981445,
Antigua and Barbuda,ATG,North America,92804.0,210.91818237304688,35.071998596191406,22321.869140625
Argentina,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,22461.44140625
Armenia,ARM,Asia,2880829.0,101.188232421875,35.814998626708984,16057.0068359375
Aruba,ABW,North America,107746.0,598.5888671875,40.766998291015625,41273.61328125
Australia,AUS,Oceania,26200929.0,3.4062483310699463,37.512001037597656,51090.26171875
Austria,AUT,Europe,9064633.0,109.84770965576172,42.832000732421875,55867.18359375
Azerbaijan,AZE,Asia,10295256.0,124.5644989013672,32.0620002746582,15094.2841796875
Bahamas,BHS,North America,397492.0,39.70949172973633,34.23400115966797,34663.49609375
Bahrain,BHR,Asia,1533408.0,1941.0228271484375,31.683000564575195,51854.71484375
Bangladesh,BGD,Asia,169384838.0,1301.2586669921875,24.989999771118164,6263.00439453125
Barbados,BRB,North America,282268.0,656.4371948242188,38.652000427246094,15417.296875
Belarus,BLR,Europe,9173190.0,45.19926071166992,40.19200134277344,19092.111328125
Belgium,BEL,Europe,11641759.0,384.4702453613281,41.1510009765625,53287.15234375
Belize,BLZ,North America,402691.0,17.654142379760742,25.520999908447266,9473.7060546875
Benin,BEN,Africa,13759458.0,122.02428436279295,17.645999908447266,3435.171630859375
Bermuda,BMU,North America,64734.0,1198.77783203125,44.702999114990234,81165.6484375
Bhutan,BTN,Asia,780868.0,20.47372817993164,28.809999465942383,11595.68359375
Bolivia,BOL,South America,12077101.0,11.148436546325684,24.392000198364254,8244.2353515625
Bonaire Sint Eustatius and Saba,BES,North America,28604.0,88.8322982788086,39.77299880981445,
Bosnia and Herzegovina,BIH,Europe,3204770.0,62.593162536621094,44.55899810791016,16737.2265625
