date_id,year,month,quarter,week,day
2020-01-01,2020,1,1,1,1
2020-01-02,2020,1,1,1,2
2020-01-03,2020,1,1,1,3
2020-01-04,2020,1,1,1,4
2020-01-05,2020,1,1,1,5
2020-01-06,2020,1,1,2,6
2020-01-07,2020,1,1,2,7
2020-01-08,2020,1,1,2,8
2020-01-09,2020,1,1,2,9
2020-01-10,2020,1,1,2,10
2020-01-11,2020,1,1,2,11
2020-01-12,2020,1,1,2,12
2020-01-13,2020,1,1,3,13
2020-01-14,2020,1,1,3,14
2020-01-15,2020,1,1,3,15
2020-01-16,2020,1,1,3,16
2020-01-17,2020,1,1,3,17
2020-01-18,2020,1,1,3,18
2020-01-19,2020,1,1,3,19
2020-01-20,2020,1,1,4,20
2020-01-21,2020,1,1,4,21
2020-01-22,2020,1,1,4,22
2020-01-23,2020,1,1,4,23
2020-01-24,2020,1,1,4,24
2020-01-25,2020,1,1,4,25
2020-01-26,2020,1,1,4,26
2020-01-27,2020,1,1,5,27
2020-01-28,2020,1,1,5,28
2020-01-29,2020,1,1,5,29
2020-01-30,2020,1,1,5,30
2020-01-31,2020,1,1,5,31
2020-02-01,2020,2,1,5,1
2020-02-02,2020,2,1,5,2
2020-02-03,2020,2,1,6,3
2020-02-04,2020,2,1,6,4
2020-02-05,2020,2,1,6,5
2020-02-06,2020,2,1,6,6
2020-02-07,2020,2,1,6,7
2020-02-08,2020,2,1,6,8
2020-02-09,2020,2,1,6,9
2020-02-10,2020,2,1,7,10
2020-02-11,2020,2,1,7,11
2020-02-12,2020,2,1,7,12
2020-02-13,2020,2,1,7,13
2020-02-14,2020,2,1,7,14
2020-02-15,2020,2,1,7,15
2020-02-16,2020,2,1,7,16
2020-02-17,2020,2,1,8,17
2020-02-18,2020,2,1,8,18
2020-02-19,2020,2,1,8,19
2020-02-20,2020,2,1,8,20
2020-02-21,2020,2,1,8,21
2020-02-22,2020,2,1,8,22
2020-02-23,2020,2,1,8,23
2020-02-24,2020,2,1,9,24
2020-02-25,2020,2,1,9,25
2020-02-26,2020,2,1,9,26
2020-02-27,2020,2,1,9,27
2020-02-28,2020,2,1,9,28
2020-02-29,2020,2,1,9,29
2020-03-01,2020,3,1,9,1
2020-03-02,2020,3,1,10,2
2020-03-03,2020,3,1,10,3
2020-03-04,2020,3,1,10,4
2020-03-05,2020,3,1,10,5
2020-03-06,2020,3,1,10,6
2020-03-07,2020,3,1,10,7
2020-03-08,2020,3,1,10,8
2020-03-09,2020,3,1,11,9
2020-03-10,2020,3,1,11,10
2020-03-11,2020,3,1,11,11
2020-03-12,2020,3,1,11,12
2020-03-13,2020,3,1,11,13
2020-03-14,2020,3,1,11,14
2020-03-15,2020,3,1,11,15
2020-03-16,2020,3,1,12,16
2020-03-17,2020,3,1,12,17
2020-03-18,2020,3,1,12,18
2020-03-19,2020,3,1,12,19
2020-03-20,2020,3,1,12,20
2020-03-21,2020,3,1,12,21
2020-03-22,2020,3,1,12,22
2020-03-23,2020,3,1,13,23
2020-03-24,2020,3,1,13,24
2020-03-25,2020,3,1,13,25
2020-03-26,2020,3,1,13,26
2020-03-27,2020,3,1,13,27
2020-03-28,2020,3,1,13,28
2020-03-29,2020,3,1,13,29
2020-03-30,2020,3,1,14,30
2020-03-31,2020,3,1,14,31
2020-04-01,2020,4,2,14,1
2020-04-02,2020,4,2,14,2
2020-04-03,2020,4,2,14,3
2020-04-04,2020,4,2,14,4
2020-04-05,2020,4,2,14,5
2020-04-06,2020,4,2,15,6
2020-04-07,2020,4,2,15,7
2020-04-08,2020,4,2,15,8
2020-04-09,2020,4,2,15,9
2020-04-10,2020,4,2,15,10
2020-04-11,2020,4,2,15,11
2020-04-12,2020,4,2,15,12
2020-04-13,2020,4,2,16,13
2020-04-14,2020,4,2,16,14
2020-04-15,2020,4,2,16,15
2020-04-16,2020,4,2,16,16
2020-04-17,2020,4,2,16,17
2020-04-18,2020,4,2,16,18
2020-04-19,2020,4,2,16,19
2020-04-20,2020,4,2,17,20
2020-04-21,2020,4,2,17,21
2020-04-22,2020,4,2,17,22
2020-04-23,2020,4,2,17,23
2020-04-24,2020,4,2,17,24
2020-04-25,2020,4,2,17,25
2020-04-26,2020,4,2,17,26
2020-04-27,2020,4,2,18,27
2020-04-28,2020,4,2,18,28
2020-04-29,2020,4,2,18,29
2020-04-30,2020,4,2,18,30
2020-05-01,2020,5,2,18,1
2020-05-02,2020,5,2,18,2
2020-05-03,2020,5,2,18,3
2020-05-04,2020,5,2,19,4
2020-05-05,2020,5,2,19,5
2020-05-06,2020,5,2,19,6
2020-05-07,2020,5,2,19,7
2020-05-08,2020,5,2,19,8
2020-05-09,2020,5,2,19,9
2020-05-10,2020,5,2,19,10
2020-05-11,2020,5,2,20,11
2020-05-12,2020,5,2,20,12
2020-05-13,2020,5,2,20,13
2020-05-14,2020,5,2,20,14
2020-05-15,2020,5,2,20,15
2020-05-16,2020,5,2,20,16
2020-05-17,2020,5,2,20,17
2020-05-18,2020,5,2,21,18
2020-05-19,2020,5,2,21,19
2020-05-20,2020,5,2,21,20
2020-05-21,2020,5,2,21,21
2020-05-22,2020,5,2,21,22
2020-05-23,2020,5,2,21,23
2020-05-24,2020,5,2,21,24
